RGB,HSV,Proportion,Street Name,District,R,G,B,H,S,V
"209.3565998277565, 203.12824455651008, 191.14935416408866","20, 22, 209",0.105634562,ANN_SIANG_HILL_A,CT,209,203,191,20,22,209
"171.63152107035634, 167.43685443858143, 157.8314634689091","21, 21, 171",0.099745767,ANN_SIANG_HILL_A,CT,172,167,158,21,21,171
"192.35321156591397, 186.65335720136116, 170.8275281410329","22, 29, 192",0.08571165,ANN_SIANG_HILL_A,CT,192,187,171,22,29,192
"137.6074865014523, 128.35028727673424, 113.92356015507232","19, 45, 137",0.074739499,ANN_SIANG_HILL_A,CT,138,128,114,19,45,137
"79.91675227539544, 87.2684148868781, 87.9859241236459","90, 23, 87",0.07198412,ANN_SIANG_HILL_A,CT,80,87,88,90,23,87
"106.96645512241253, 115.14255126251132, 116.67170772168653","93, 22, 116",0.067363241,ANN_SIANG_HILL_A,CT,107,115,117,93,22,116
"166.71518800543, 152.18794640222012, 133.80131043031076","17, 51, 166",0.066127802,ANN_SIANG_HILL_A,CT,167,152,134,17,51,166
"142.0354633726916, 143.46381309900892, 140.92957657865227","40, 5, 143",0.061443268,ANN_SIANG_HILL_A,CT,142,143,141,40,5,143
"224.01266318541013, 215.19327676239342, 209.4954960835548","12, 17, 224",0.059706379,ANN_SIANG_HILL_A,CT,224,215,209,12,17,224
"114.22700227821372, 102.96799451459316, 88.79905332772788","16, 58, 114",0.058921726,ANN_SIANG_HILL_A,CT,114,103,89,16,58,114
"95.92078048781825, 73.71914146341764, 59.15340487803482","12, 97, 95",0.03329579,ANN_SIANG_HILL_A,CT,96,74,59,12,97,95
"108.16255846289638, 154.31306619475075, 189.49896768212477","103, 109, 189",0.030817117,ANN_SIANG_HILL_A,CT,108,154,189,103,109,189
"133.90452169127553, 199.65385673666142, 207.89612950565612","93, 91, 207",0.028324155,ANN_SIANG_HILL_A,CT,134,200,208,93,91,207
"236.98641012472265, 247.98538271144608, 245.97534208189444","85, 11, 247",0.027817508,ANN_SIANG_HILL_A,CT,237,248,246,85,11,247
"72.23077651516228, 131.16979166666755, 174.03967803029917","103, 149, 174",0.027453762,ANN_SIANG_HILL_A,CT,72,131,174,103,149,174
"61.511443574787464, 213.40310115919772, 201.19434261371572","88, 182, 213",0.026226118,ANN_SIANG_HILL_A,CT,62,213,201,88,182,213
"179.26461593811277, 226.53510823287414, 226.12070516281446","90, 53, 226",0.021664997,ANN_SIANG_HILL_A,CT,179,227,226,90,53,226
"41.93567362430416, 130.28209993674977, 137.348387096776","92, 179, 137",0.020537383,ANN_SIANG_HILL_A,CT,42,130,137,92,179,137
"17.287232342629835, 92.8687280281078, 109.1396612336142","96, 215, 109",0.016249073,ANN_SIANG_HILL_A,CT,17,93,109,96,215,109
"34.301464117156385, 182.08888711096978, 169.4085126810106","87, 207, 182",0.016236082,ANN_SIANG_HILL_A,CT,34,182,169,87,207,182
"244.50864884482428, 247.2763517600494, 235.28462561994712","38, 12, 247",0.086265974,ANN_SIANG_HILL_B,CT,245,247,235,38,12,247
"192.8238102733741, 195.00078702973659, 182.73891599770076","37, 17, 195",0.0794672,ANN_SIANG_HILL_B,CT,193,195,183,37,17,195
"249.30208437888678, 226.5814179129606, 179.00374719797264","20, 72, 249",0.062372184,ANN_SIANG_HILL_B,CT,249,227,179,20,72,249
"121.48232611175504, 95.77969682740658, 73.01197263398663","14, 101, 121",0.06202995,ANN_SIANG_HILL_B,CT,121,96,73,14,101,121
"120.41417497232527, 114.75332225912497, 104.01311600222124","19, 34, 120",0.060443986,ANN_SIANG_HILL_B,CT,120,115,104,19,34,120
"169.111462423124, 170.59066745422672, 158.50647996942044","33, 18, 170",0.060408511,ANN_SIANG_HILL_B,CT,169,171,159,33,18,170
"238.599895514608, 209.63527128890308, 155.00574669751242","20, 89, 238",0.055921904,ANN_SIANG_HILL_B,CT,239,210,155,20,89,238
"45.116201285298644, 75.51723101205808, 89.665977676734","100, 126, 89",0.055464896,ANN_SIANG_HILL_B,CT,45,76,90,100,126,89
"210.8816944260369, 184.31419432850484, 136.74685025549144","19, 90, 210",0.05351583,ANN_SIANG_HILL_B,CT,211,184,137,19,90,210
"211.4287232367887, 219.43265900502357, 211.13145465995092","60, 9, 219",0.053098472,ANN_SIANG_HILL_B,CT,211,219,211,60,9,219
"87.7368400237453, 86.89827961240368, 87.78453628634404","150, 3, 87",0.052762498,ANN_SIANG_HILL_B,CT,88,87,88,150,3,87
"141.41575391329562, 143.48197574384474, 130.7590750765885","35, 23, 143",0.049613526,ANN_SIANG_HILL_B,CT,141,143,131,35,23,143
"185.45149595982093, 153.4622843415604, 112.83725704302508","17, 101, 185",0.047843925,ANN_SIANG_HILL_B,CT,185,153,113,17,101,185
"100.236030113466, 71.50588484782763, 51.231682748393396","12, 125, 100",0.039016786,ANN_SIANG_HILL_B,CT,100,72,51,12,125,100
"155.2446007583659, 126.31071055668659, 88.8837170962296","17, 110, 155",0.038015125,ANN_SIANG_HILL_B,CT,155,126,89,17,110,155
"59.88745531726296, 96.62393878461906, 123.28971179624612","103, 133, 123",0.03738074,ANN_SIANG_HILL_B,CT,60,97,123,103,133,123
"84.35693114456542, 133.756326949382, 128.57780437756222","87, 94, 133",0.036639928,ANN_SIANG_HILL_B,CT,84,134,129,87,94,133
"120.31071049841039, 157.0482502651114, 168.61195273443187","97, 73, 168",0.027587416,ANN_SIANG_HILL_B,CT,120,157,169,97,73,168
"157.6635828427248, 191.9237174095875, 194.73574432296346","92, 49, 194",0.024828674,ANN_SIANG_HILL_B,CT,158,192,195,92,49,194
"88.72035632599065, 123.20260021668767, 169.3457325147471","107, 122, 169",0.017322476,ANN_SIANG_HILL_B,CT,89,123,169,107,122,169
"103.52697569224293, 104.49054697962809, 102.91462638063663","45, 5, 104",0.078448497,ANN_SIANG_Rd,CT,104,104,103,45,5,104
"94.64854884990152, 94.25937250104094, 89.44235382663379","30, 14, 94",0.073241106,ANN_SIANG_Rd,CT,95,94,89,30,14,94
"128.8250138438355, 132.1206128207149, 132.10112596576892","90, 8, 132",0.065325802,ANN_SIANG_Rd,CT,129,132,132,90,8,132
"81.44721139310414, 81.711194207954, 79.91113055933289","30, 6, 81",0.064953723,ANN_SIANG_Rd,CT,81,82,80,30,6,81
"115.57523556734614, 118.25191771730763, 119.90367617782798","98, 9, 119",0.0648986,ANN_SIANG_Rd,CT,116,118,120,98,9,119
"117.82962050821764, 115.01234187841666, 103.7084126273402","26, 31, 117",0.061551606,ANN_SIANG_Rd,CT,118,115,104,26,31,117
"130.1417130332127, 127.06569999437454, 115.51778789410744","24, 29, 130",0.061300108,ANN_SIANG_Rd,CT,130,127,116,24,29,130
"141.52181981442888, 145.9050583657575, 146.27261299012358","96, 9, 146",0.057551751,ANN_SIANG_Rd,CT,142,146,146,96,9,146
"156.14634066935986, 160.25026045058254, 160.8525849719945","90, 6, 160",0.052795678,ANN_SIANG_Rd,CT,156,160,161,90,6,160
"158.53978709248366, 155.62368596141138, 141.51739853626106","25, 27, 158",0.052013622,ANN_SIANG_Rd,CT,159,156,142,25,27,158
"171.00830733639143, 169.0900837744054, 158.4103193241911","25, 19, 171",0.049267813,ANN_SIANG_Rd,CT,171,169,158,25,19,171
"145.025700361138, 141.07594404123452, 127.46334280003754","23, 32, 145",0.049138619,ANN_SIANG_Rd,CT,145,141,127,23,32,145
"249.61060916212205, 251.3820851273902, 247.54157549236697","45, 4, 251",0.048666629,ANN_SIANG_Rd,CT,250,251,248,45,4,251
"174.85152806074728, 177.67201333579806, 175.5238007038246","70, 4, 177",0.046797618,ANN_SIANG_Rd,CT,175,178,176,70,4,177
"189.5116162781668, 191.29444572658394, 185.69963074081932","40, 8, 191",0.044621986,ANN_SIANG_Rd,CT,190,191,186,40,8,191
"224.7112139357493, 222.6804961505402, 209.59479741816529","26, 17, 224",0.044244739,ANN_SIANG_Rd,CT,225,223,210,26,17,224
"203.36710048549378, 206.44979804984177, 202.10627881360068","53, 5, 206",0.041996758,ANN_SIANG_Rd,CT,203,206,202,53,5,206
"237.5059972502708, 237.68307021285108, 226.92442990566957","30, 12, 237",0.036374222,ANN_SIANG_Rd,CT,238,238,227,30,12,237
"14.56306156406211, 45.794009983363665, 86.9178036605666","107, 213, 86",0.005176385,ANN_SIANG_Rd,CT,15,46,87,107,213,86
"53.88198103266667, 121.53213909378277, 192.57218124341432","105, 185, 192",0.001634738,ANN_SIANG_Rd,CT,54,122,193,105,185,192
"136.52126607319525, 131.1610852055955, 123.4414299844573","18, 24, 136",0.082444082,BOON_TAT_St,CT,137,131,123,18,24,136
"124.37020388505383, 135.43955691122142, 145.64328142559066","104, 37, 145",0.072565238,BOON_TAT_St,CT,124,135,146,104,37,145
"98.76116666666536, 111.75566666666631, 125.08083333333406","106, 55, 125",0.070083877,BOON_TAT_St,CT,99,112,125,106,55,125
"112.67346256684577, 123.64004010695155, 133.90257352941165","104, 40, 133",0.06972274,BOON_TAT_St,CT,113,124,134,104,40,133
"135.24725923427224, 147.33243379996708, 159.15348288075663","105, 38, 159",0.069582945,BOON_TAT_St,CT,135,147,159,105,38,159
"143.49216687202926, 142.53370885407608, 137.49779968315443","25, 11, 143",0.066192917,BOON_TAT_St,CT,143,143,137,25,11,143
"146.45131019830114, 160.2209631728045, 174.33179886685667","105, 41, 174",0.065435694,BOON_TAT_St,CT,146,160,174,105,41,174
"122.44397886682452, 119.51320823465163, 112.691382765532","21, 21, 122",0.063944548,BOON_TAT_St,CT,122,120,113,21,21,122
"110.30005556584621, 106.96203000555636, 101.24800889053634","17, 21, 110",0.062907735,BOON_TAT_St,CT,110,107,101,17,21,110
"154.49801774589275, 154.88276382858143, 150.18463281102592","30, 7, 154",0.06167288,BOON_TAT_St,CT,154,155,150,30,7,154
"97.62540322580709, 93.69233870967736, 90.06935483871078","13, 18, 97",0.057945014,BOON_TAT_St,CT,98,94,90,13,18,97
"87.72788971367825, 98.91177094379526, 110.12258748674537","106, 53, 110",0.055067568,BOON_TAT_St,CT,88,99,110,106,53,110
"165.13354727227767, 165.92619106393423, 161.60059244631046","30, 6, 165",0.047145853,BOON_TAT_St,CT,165,166,162,30,6,165
"75.95479204339827, 83.23921467320969, 90.60320330664015","104, 42, 90",0.044641193,BOON_TAT_St,CT,76,83,91,104,42,90
"87.35439652290194, 79.12036108324904, 72.67870277499271","14, 44, 87",0.034820596,BOON_TAT_St,CT,87,79,73,14,44,87
"169.01429567643038, 178.65271966527246, 186.4755927475603","104, 23, 186",0.033317801,BOON_TAT_St,CT,169,179,186,104,23,186
"109.13533834586421, 129.55639097744358, 167.283979178717","110, 89, 167",0.020153774,BOON_TAT_St,CT,109,130,167,110,89,167
"235.6599045346058, 244.26372315035758, 247.21360381861686","98, 12, 247",0.009762349,BOON_TAT_St,CT,236,244,247,98,12,247
"198.96475770925156, 207.189427312776, 212.66666666666737","101, 17, 212",0.007933364,BOON_TAT_St,CT,199,207,213,101,17,212
"36.76178660049601, 65.32754342431747, 99.41439205955321","106, 162, 99",0.004659832,BOON_TAT_St,CT,37,65,99,106,162,99
"173.94051819614643, 173.83409225548564, 170.80629973989693","30, 4, 173",0.082248591,BUKIT_PASOH_A_Rd,CT,174,174,171,30,4,173
"97.44493976548718, 99.39924081825869, 102.38076683513391","108, 13, 102",0.075483393,BUKIT_PASOH_A_Rd,CT,97,99,102,108,13,102
"117.61603157849217, 120.99007774639446, 126.1221714978177","110, 18, 126",0.070414402,BUKIT_PASOH_A_Rd,CT,118,121,126,110,18,126
"117.57618035014846, 112.53147189359422, 103.77316629685902","19, 31, 117",0.069078036,BUKIT_PASOH_A_Rd,CT,118,113,104,19,31,117
"155.14335091867048, 158.21952189635, 163.58982557504498","109, 13, 163",0.068148362,BUKIT_PASOH_A_Rd,CT,155,158,164,109,13,163
"136.45268872644218, 140.53928888666303, 147.479386534332","109, 19, 147",0.068097077,BUKIT_PASOH_A_Rd,CT,136,141,147,109,19,147
"190.0284811145751, 189.62074537611952, 186.5664258905806","23, 5, 190",0.065599304,BUKIT_PASOH_A_Rd,CT,190,190,187,23,5,190
"77.98437392762482, 79.9350705804058, 84.0951585649582","111, 21, 84",0.064370784,BUKIT_PASOH_A_Rd,CT,78,80,84,111,21,84
"138.72271126466563, 133.4992778851591, 123.84220032234725","20, 28, 138",0.062409288,BUKIT_PASOH_A_Rd,CT,139,133,124,20,28,138
"98.1577319191328, 89.99023296029031, 79.2095311751446","16, 49, 98",0.060230833,BUKIT_PASOH_A_Rd,CT,98,90,79,16,49,98
"208.0141305542527, 207.3146984282675, 200.93848094650923","26, 10, 208",0.055750882,BUKIT_PASOH_A_Rd,CT,208,207,201,26,10,208
"159.64271507729768, 153.49939432134664, 141.055071740182","20, 29, 159",0.051776184,BUKIT_PASOH_A_Rd,CT,160,153,141,20,29,159
"224.13947922465164, 225.7119448638586, 223.56892528008598","45, 2, 225",0.042441667,BUKIT_PASOH_A_Rd,CT,224,226,224,45,2,225
"244.7403117530292, 246.2279556900503, 242.08995838776366","45, 4, 246",0.040502332,BUKIT_PASOH_A_Rd,CT,245,246,242,45,4,246
"94.12500566837625, 65.23175174216856, 40.920953187153685","14, 146, 94",0.027861512,BUKIT_PASOH_A_Rd,CT,94,65,41,14,146,94
"237.96903426143177, 230.09988855772698, 186.29006448410294","26, 55, 237",0.022128558,BUKIT_PASOH_A_Rd,CT,238,230,186,26,55,237
"133.11492344987965, 89.45197326753642, 56.680662633424575","13, 148, 133",0.01930999,BUKIT_PASOH_A_Rd,CT,133,89,57,13,148,133
"154.35990436694283, 129.7228340924993, 78.89337593760709","20, 126, 154",0.018647716,BUKIT_PASOH_A_Rd,CT,154,130,79,20,126,154
"216.61261711433914, 200.12499006304785, 153.65669184032538","22, 74, 216",0.018585245,BUKIT_PASOH_A_Rd,CT,217,200,154,22,74,216
"198.47812507810363, 166.33187167377775, 116.04884691303198","18, 106, 198",0.016915842,BUKIT_PASOH_A_Rd,CT,198,166,116,18,106,198
"157.08197165297616, 147.7051247329324, 139.6517107520062","13, 29, 157",0.069862951,BUKIT_PASOH_B_Rd,CT,157,148,140,13,29,157
"198.881907254148, 187.37472614411246, 177.8945654819867","14, 27, 198",0.068518387,BUKIT_PASOH_B_Rd,CT,199,187,178,14,27,198
"153.52383149844835, 156.93252686400032, 162.87685411035736","110, 14, 162",0.063727725,BUKIT_PASOH_B_Rd,CT,154,157,163,110,14,162
"139.0468219785862, 130.81936831114905, 122.95934481858197","14, 31, 139",0.063566712,BUKIT_PASOH_B_Rd,CT,139,131,123,14,31,139
"225.81892704857168, 230.78236869071188, 235.9336264171876","105, 11, 235",0.063263505,BUKIT_PASOH_B_Rd,CT,226,231,236,105,11,235
"135.60267443854158, 139.60984056232098, 146.58234184810482","109, 19, 146",0.060693569,BUKIT_PASOH_B_Rd,CT,136,140,147,109,19,146
"176.79143191240195, 167.0630381630716, 158.16866872187424","15, 26, 176",0.059131533,BUKIT_PASOH_B_Rd,CT,177,167,158,15,26,176
"191.3973167831063, 195.93213914077901, 201.29682622267927","108, 13, 201",0.056250026,BUKIT_PASOH_B_Rd,CT,191,196,201,108,13,201
"174.615906704666, 177.04031048447786, 180.24205039747915","105, 9, 180",0.05585063,BUKIT_PASOH_B_Rd,CT,175,177,180,105,9,180
"246.30074484106905, 248.34726688103245, 248.50604420202268","90, 2, 248",0.051375721,BUKIT_PASOH_B_Rd,CT,246,248,249,90,2,248
"106.99129617522439, 98.95554102648262, 91.04053612290136","14, 36, 106",0.051191706,BUKIT_PASOH_B_Rd,CT,107,99,91,14,36,106
"113.94757640728766, 115.20431328036645, 118.84911926681875","108, 11, 118",0.049922421,BUKIT_PASOH_B_Rd,CT,114,115,119,108,11,118
"210.0587766403758, 215.18652458466514, 220.8283688538203","105, 12, 220",0.049838778,BUKIT_PASOH_B_Rd,CT,210,215,221,105,12,220
"88.75298839928149, 80.90988487495383, 74.09152661989458","13, 41, 88",0.047438219,BUKIT_PASOH_B_Rd,CT,89,81,74,13,41,88
"133.333772727267, 114.66040909091228, 99.78849999997897","13, 65, 133",0.04592846,BUKIT_PASOH_B_Rd,CT,133,115,100,13,65,133
"216.32534839239617, 205.6450040987374, 194.39516349393242","15, 26, 216",0.045872001,BUKIT_PASOH_B_Rd,CT,216,206,194,15,26,216
"86.76951204892534, 91.61077808416582, 102.532370219386","111, 40, 102",0.034933566,BUKIT_PASOH_B_Rd,CT,87,92,103,111,40,102
"235.9969519781148, 224.89966409554964, 211.99073152524218","16, 26, 235",0.033607822,BUKIT_PASOH_B_Rd,CT,236,225,212,16,26,235
"59.089558538035476, 70.29610871951019, 89.35983793364693","109, 86, 89",0.02478556,BUKIT_PASOH_B_Rd,CT,59,70,89,109,86,89
"62.624753451678174, 145.54388560157813, 159.5769230769236","94, 156, 159",0.004240708,BUKIT_PASOH_B_Rd,CT,63,146,160,94,156,159
"114.48830902195176, 113.52673314349397, 103.6747821020618","27, 25, 114",0.082373883,CLUB_A_St,CT,114,114,104,27,25,114
"172.47727860880732, 174.07236280458773, 165.1494195090946","37, 13, 174",0.078993136,CLUB_A_St,CT,172,174,165,37,13,174
"97.05059175758409, 98.16056438911073, 91.42073264059923","34, 18, 98",0.076138019,CLUB_A_St,CT,97,98,91,34,18,98
"184.8885286672674, 186.88159675233484, 179.53673633032764","39, 10, 186",0.074787869,CLUB_A_St,CT,185,187,180,39,10,186
"126.54399822562316, 128.87944806172902, 121.19813063380232","39, 14, 128",0.073382844,CLUB_A_St,CT,127,129,121,39,14,128
"230.32200784432632, 231.91744550302457, 221.6207250297153","33, 11, 231",0.072090603,CLUB_A_St,CT,230,232,222,33,11,231
"141.9308771835462, 144.63525035556344, 136.11772144257455","41, 14, 144",0.069639457,CLUB_A_St,CT,142,145,136,41,14,144
"199.16232488681294, 200.80779793355293, 191.7466111767156","33, 11, 200",0.068974423,CLUB_A_St,CT,199,201,192,33,11,200
"216.10239762126267, 216.92583271230168, 205.3247346753241","30, 13, 216",0.067910788,CLUB_A_St,CT,216,217,205,30,13,216
"156.5424050959813, 159.94442627183338, 152.8024240337501","43, 11, 159",0.067898879,CLUB_A_St,CT,157,160,153,43,11,159
"87.97347836622869, 82.8854781665506, 71.53514945375323","21, 47, 87",0.065543705,CLUB_A_St,CT,88,83,72,21,47,87
"245.4267287135899, 247.12312069501942, 236.9667341446624","35, 11, 247",0.037834566,CLUB_A_St,CT,245,247,237,35,11,247
"148.17526940465925, 130.3406415037784, 97.09938478345315","19, 88, 148",0.029474235,CLUB_A_St,CT,148,130,97,19,88,148
"123.40655089696727, 99.59931923377374, 66.94135781609789","17, 118, 123",0.027625776,CLUB_A_St,CT,123,100,67,17,118,123
"174.32466442187695, 155.60203308786544, 118.2015750043342","20, 82, 174",0.025541706,CLUB_A_St,CT,174,156,118,20,82,174
"59.399660062593696, 80.00655441655776, 90.62861847343991","100, 88, 90",0.021923247,CLUB_A_St,CT,59,80,91,100,88,90
"204.13067807765972, 185.4754890435603, 129.2365395466988","22, 94, 204",0.019907829,CLUB_A_St,CT,204,185,129,22,94,204
"105.2871429958332, 62.66666666665911, 38.62546987914317","11, 163, 105",0.016850726,CLUB_A_St,CT,105,63,39,11,163,105
"235.9715731459097, 217.6671769749155, 164.4848519031934","22, 77, 235",0.01449672,CLUB_A_St,CT,236,218,164,22,77,235
"78.55459840173583, 120.44402004605195, 140.834322091287","100, 113, 140",0.008611587,CLUB_A_St,CT,79,120,141,100,113,140
"228.29002863351434, 236.50527472418628, 238.21930565267962","96, 11, 238",0.081060643,CLUB_B_St,CT,228,237,238,96,11,238
"243.69111392503015, 249.58612945555598, 249.1602803979129","90, 6, 249",0.077268871,CLUB_B_St,CT,244,250,249,90,6,249
"210.9258869979266, 220.9481300252016, 224.94394344877992","99, 16, 224",0.074514111,CLUB_B_St,CT,211,221,225,99,16,224
"191.48154764413118, 202.74294739349915, 208.90406001651564","101, 21, 208",0.057229124,CLUB_B_St,CT,191,203,209,101,21,208
"152.79613786163483, 163.3661805392021, 170.85010160371365","102, 27, 170",0.054921022,CLUB_B_St,CT,153,163,171,102,27,170
"171.9299510215393, 182.86693505667182, 189.5433593845234","102, 24, 189",0.053875893,CLUB_B_St,CT,172,183,190,102,24,189
"235.58749270364785, 231.72634482408836, 218.0660758181103","23, 18, 235",0.053367808,CLUB_B_St,CT,236,232,218,23,18,235
"131.6573160604883, 143.94067015449866, 154.21684936058833","104, 38, 154",0.052960857,CLUB_B_St,CT,132,144,154,104,38,154
"91.15194472011152, 101.80401709283002, 108.640667311068","102, 40, 108",0.052523193,CLUB_B_St,CT,91,102,109,102,40,108
"109.4419845236739, 123.04406005498471, 134.24403348949673","103, 48, 134",0.051262414,CLUB_B_St,CT,109,123,134,103,48,134
"71.50318048041726, 80.95295737209337, 87.31823360342402","103, 47, 87",0.050728003,CLUB_B_St,CT,72,81,87,103,47,87
"222.8607352807236, 211.86628118205033, 196.96925460802981","17, 30, 222",0.050057576,CLUB_B_St,CT,223,212,197,17,30,222
"142.86796262360275, 135.837657708537, 122.20967518133853","20, 36, 142",0.046007155,CLUB_B_St,CT,143,136,122,20,36,142
"202.69297191216245, 194.95334232797902, 180.39325401694208","19, 28, 202",0.04479793,CLUB_B_St,CT,203,195,180,19,28,202
"184.75076567754698, 176.34412311090773, 159.5959783100007","20, 35, 184",0.043823222,CLUB_B_St,CT,185,176,160,20,35,184
"165.00748621945323, 156.55933753453394, 139.33726468127946","20, 40, 165",0.04381335,CLUB_B_St,CT,165,157,139,20,40,165
"123.83903827549999, 115.29677880950078, 102.24853816206502","19, 44, 123",0.042540724,CLUB_B_St,CT,124,115,102,19,44,123
"112.11380068954982, 90.71015600891033, 74.4065958387576","13, 87, 112",0.032554964,CLUB_B_St,CT,112,91,74,13,87,112
"95.52875225761848, 62.86321665628766, 46.882934723859776","10, 132, 95",0.027880186,CLUB_B_St,CT,96,63,47,10,132,95
"181.25869792444013, 96.64265093823161, 103.5707779602978","178, 120, 181",0.008812952,CLUB_B_St,CT,181,97,104,178,120,181
"137.40922592602053, 141.7913376831056, 145.59926629261386","105, 14, 145",0.091373903,CLUB_St,CT,137,142,146,105,14,145
"148.21940356053523, 152.90812093653983, 157.41302700329257","107, 15, 157",0.087241106,CLUB_St,CT,148,153,157,107,15,157
"125.89180606746142, 130.31393535581572, 133.85037567337716","101, 15, 133",0.081824277,CLUB_St,CT,126,130,134,101,15,133
"115.40027077098526, 118.35523015532834, 120.79379364400634","102, 11, 120",0.081418304,CLUB_St,CT,115,118,121,102,11,120
"159.69215454894322, 164.96961579946478, 170.07849794755933","106, 17, 170",0.080110494,CLUB_St,CT,160,165,170,106,17,170
"104.00812046613515, 106.28239335294118, 108.27427288679897","105, 9, 108",0.07696189,CLUB_St,CT,104,106,108,105,9,108
"92.3110377809999, 94.28866872971994, 95.8760958325562","100, 8, 95",0.076015974,CLUB_St,CT,92,94,96,100,8,95
"79.24358031317631, 82.38841274436132, 84.35657671799214","102, 15, 84",0.070362522,CLUB_St,CT,79,82,84,102,15,84
"172.09996403791337, 177.74151717717342, 182.94231257400128","105, 14, 182",0.054831765,CLUB_St,CT,172,178,183,105,14,182
"248.23931324843093, 249.3453511078584, 250.05896761515493","105, 2, 250",0.051379262,CLUB_St,CT,248,249,250,105,2,250
"146.4453318474508, 129.8231024021795, 112.39699418028576","15, 59, 146",0.037460795,CLUB_St,CT,146,130,112,15,59,146
"162.95389164776734, 147.85352683090997, 130.1288269610875","16, 50, 162",0.036086869,CLUB_St,CT,163,148,130,16,50,162
"190.45633860344995, 193.32272502933355, 196.64684558958348","105, 8, 196",0.034077886,CLUB_St,CT,190,193,197,105,8,196
"130.43130517323368, 108.69473184623052, 92.61019458944779","13, 75, 130",0.030554628,CLUB_St,CT,130,109,93,13,75,130
"111.39341127297725, 87.5271967351893, 72.72097470572638","12, 90, 111",0.029407466,CLUB_St,CT,111,88,73,12,90,111
"180.93241178608903, 168.14912089244436, 150.30425609312422","18, 43, 180",0.023914662,CLUB_St,CT,181,168,150,18,43,180
"216.83174392349514, 219.614132022825, 222.27897463140198","105, 7, 222",0.021832605,CLUB_St,CT,217,220,222,105,7,222
"91.71618600798595, 64.14088588379813, 52.78126121151395","9, 109, 91",0.021034,CLUB_St,CT,92,64,53,9,109,91
"41.78028369634424, 63.46062080835577, 93.13721882603622","107, 143, 93",0.009828587,CLUB_St,CT,42,63,93,107,143,93
"51.85995386076968, 93.0081422173999, 138.2178043153753","105, 161, 138",0.004283007,CLUB_St,CT,52,93,138,105,161,138
"176.53071644865236, 175.04270826620217, 169.25936634240733","26, 10, 176",0.085700894,CRAIG_B_St,CT,177,175,169,26,10,176
"189.68989946817027, 190.33394951554428, 187.88054563994186","40, 4, 190",0.075850986,CRAIG_B_St,CT,190,190,188,40,4,190
"158.7456030208095, 158.60362573205026, 154.24293138055774","30, 6, 158",0.075353279,CRAIG_B_St,CT,159,159,154,30,6,158
"88.69170700473462, 83.33925713230732, 78.02501770345262","15, 29, 88",0.071212852,CRAIG_B_St,CT,89,83,78,15,29,88
"140.76197473705864, 139.03319410195917, 133.21197725327923","26, 13, 140",0.068362599,CRAIG_B_St,CT,141,139,133,26,13,140
"123.1027950089853, 119.6221813862235, 114.09979999393195","17, 19, 123",0.06786213,CRAIG_B_St,CT,123,120,114,17,19,123
"30.889415314230178, 54.48671168796156, 91.70313144521113","108, 171, 91",0.058505788,CRAIG_B_St,CT,31,54,92,108,171,91
"110.61113815859997, 101.36234177213689, 92.25077085364947","15, 42, 110",0.051262457,CRAIG_B_St,CT,111,101,92,15,42,110
"200.9321779567926, 205.5356278642028, 206.64496505480622","95, 7, 206",0.051118875,CRAIG_B_St,CT,201,206,207,95,7,206
"41.93795535941888, 73.56995002110665, 113.37561792706293","107, 162, 113",0.050552828,CRAIG_B_St,CT,42,74,113,107,162,113
"91.14393567057613, 98.98749453908451, 107.79618556140338","107, 38, 107",0.050516932,CRAIG_B_St,CT,91,99,108,107,38,107
"61.0868375922725, 73.23607863144375, 94.53311507011517","109, 90, 94",0.04870144,CRAIG_B_St,CT,61,73,95,109,90,94
"221.15079670280733, 224.21302813955975, 222.3882526041197","70, 3, 224",0.04125309,CRAIG_B_St,CT,221,224,222,70,3,224
"62.462095015131325, 93.42818889537472, 130.17197779787008","106, 133, 130",0.039037913,CRAIG_B_St,CT,62,93,130,106,133,130
"241.49657657654637, 243.0158558558379, 239.84868868867966","45, 4, 243",0.034516441,CRAIG_B_St,CT,241,243,240,45,4,243
"131.81640074363102, 145.28110890926874, 161.57960326053907","106, 48, 161",0.033895169,CRAIG_B_St,CT,132,145,162,106,48,161
"103.42743497794609, 118.77286591648824, 138.77523597543492","107, 65, 138",0.03343819,CRAIG_B_St,CT,103,119,139,107,65,138
"157.52860018656838, 174.14167525898478, 189.74385034616745","104, 43, 189",0.028194662,CRAIG_B_St,CT,158,174,190,104,43,189
"177.61090219907078, 117.74001985498961, 91.74784152104007","9, 124, 177",0.022946992,CRAIG_B_St,CT,178,118,92,9,124,177
"95.61070945747994, 49.2635631575741, 37.64297889851021","6, 156, 95",0.011716482,CRAIG_B_St,CT,96,49,38,6,156,95
"190.61395818294372, 191.68697662673566, 192.10495924515607","105, 3, 192",0.076413837,CRAIG_St,CT,191,192,192,105,3,192
"120.86202973916023, 115.79237582114817, 107.55954397435146","18, 28, 120",0.071263512,CRAIG_St,CT,121,116,108,18,28,120
"180.7885082969713, 177.08214894465806, 170.59185591821358","21, 14, 180",0.071012364,CRAIG_St,CT,181,177,171,21,14,180
"137.59858909034497, 132.7317978429009, 123.64133021234144","19, 26, 137",0.069038929,CRAIG_St,CT,138,133,124,19,26,137
"105.11691227147428, 98.9543207850221, 90.84160294076445","16, 36, 105",0.06806249,CRAIG_St,CT,105,99,91,16,36,105
